,Common 1,Common 2,Common 3,Common Other,Uncommon 1,Uncommon 2,Uncommon 3,Uncommon 4,Uncommon Other,Rare 1,Rare 2,Rare 3,Rare 4,Rare 5,Rare Other,Very Rare 1,Very Rare 2,Very Rare 3,Very Rare Other,Legendary 1,Legendary 2,Legendary Other
Other,,,,"Potion of Healing, Art Objects, scalemail, chainmail, simple weapons, Quests for 1 Uncommon Arcana, Implements, Armaments, Relics",,,,,"Adamantine Breastplate, Luckstone, Bag of Holding, Adamantine Halfplate, +1 dagger, greater healing potion, Boots of Elvenkind, art objects, mithral halfplate, mithral platemail, Quests for 1 Rare Arcana, Implements, Armaments, Relics",,,,,,"Elven Chainmail, elven chain vest, +2 dagger, Potion of Healing (Superior), Cloak of displacement, Belt of Hill Giant Strength, Ring of Protection, Ring of resistance, Quests for 1 Very Rare Arcana, Implements, Armaments, Relics",,,,"Potion of Healing Supreme, Manual of *, Tome of * (+2 to highest stat, can only be used in town at level up), Belt of Stone Giant Strength, Quests for 1 Legendary Arcana, Implements, Armaments, Relics",,,"Shortsword of Answering, Belt of Cloud Giant Strength,  Scroll of Titan Summoning, Iron Flash, Iron Horn of Valhalla, Cubic Gate, Deck of Many things"
Fighter,silvered longsword,chainmail,shield,,+1 longsword,+1 shield,Cloak of Protection,Adamantine Platemail ,,+1 Platemail,+2 longsword,+2 shield,Vicious Longsword,Belt of Dwarvenkind,,+2 Platemail,+3 Shield,+3 Longsword,,+3 Platemail,Vorpal LongSword,
Fighter Dex higher than Str,silvered rapier,studded leather,shield,,+1 rapier,+1 shield,Cloak of Protection,Adamantine Platemail ,,+1 Platemail,+2 rapier,+2 shield,+2 shortsword,Vicous Shortsword,,+2 Platemail,+3 Shield,+3 Rapier,,+3 Platemail,Vorpal Scimitar,
Barbarian,silvered great axe,silvered spear,shield,,+1 Greataxe,+1 shield,Cloak of Protection,+1 spear,,+2 Greataxe,Bracers of Defence,+2 shield,Vicious Spear,Ring of Protection,,Executioner's Greataxe,+3 Shield,+3 Spear,,Defender Greataxe,Vorpal Greatsword,
Barbarian Dex + Con under 32,scalemail,silvered spear,shield,,+1 Spear,+1 shield,Cloak of Protection,"Adamantine Halfplate, ",,+2 Greataxe,+1 HalfPlate,+2 shield,Vicious Spear,Ring of Protection,,Executioner's Greataxe,+3 Shield,+3 Spear,,+3 Half-plate,Vorpal Glaive,
Barbarian Dex higher than Str,silvered scimitar,silvered short sword,shield,,+1 scimitar,+1 shield,Cloak of Protection,+1 short sword,,+2 Greataxe,Bracers of Defence,+2 shield,+2 shortsword,Vicious Shortsword,,Executioner's Greataxe,+3 Shield,+3 Short Sword,,Vorpal Scimitar,Vorpal Shortsword,
Rogue,studded leather,silvered short sword,silvered scimitar,,Gloves of Thievery,+1 shortsword,Cloak of Elvenkind,Luckstone,,+2 shortsword,+1 Studded leather,Ring of Protection,Vicous Shortsword,Ioun Stone (Awareness),,+3 Shortsword,+2 studded leather,scimitar of speed,,+3 studded leather,Vorpal Shortsword,
Paladin,chainmail,sheild,silvered longsword,,+1 longsword,+1 shield,Cloak of Protection,Adamantine Platemail,,+1 Platemail,+2 longsword,+2 shield,+2 book of the devout,Ring of Protection,,+2 Platemail,+3 Shield,+3 Longsword,,+3 Platemail,Holy Avenger,
Cleric,chainmail,sheild,silvered mace,,+1 book of the devout,+1 shield,Cloak of Protection,Adamantine Platemail,,+1 Platemail,+2 book of the devout,+2 shield,+2 Warhammer,Ring of Spell Storing,,+2 Platemail,Illusionist's Bracers,+3 book of the devout,,+3 Platemail,Talisman of Pure Good,
Wizard,1st lv scroll,silvered staff,hat of wizardy,,+1 wand of the warmage,Cloak of Protection,2nd lv scroll,3rd lv scroll,,+2 wand of the warmage,Bracers of Defence,Ring of Protection,4th lv Scroll,Ring of Spell Storing,,Illusionist's Bracers,staff of power,+3 Wand of the Warmage,,Robe of the Archmagi,Staff of the Magi,
Warlock,studded leather,silvered spear,1st lv scroll,,+1 rod of the pact keeper,Cloak of Protection,Luckstone,2nd lv scroll,,+1 Studded leather,+2 rod of the pact keeper,Ring of Protection,Ioun Stone (Reserve),Ring of Spell Storing,,Illusionist's Bracers,+2 studded leather,+3 Rod of the Pactkeeper,,Robe of the Archmagi,Staff of the Magi,
