Level,Upgrade (1),Best in Slot (2),Monster Flavor (3),Armament (4),Example Items
1,0,0,1,1,"Monster gear (dagger, club), Goblin scimitar"
2,0,0,1,1,"Potion, simple weapon, Kobold sling"
3,1,0,1,0,"+1 Weapon (Upgrade), Orc greataxe"
4,1,0,1,1,"+1 Shield, Troll claw token"
5,1,1,1,0,"+1 Armor, Boots of Elvenkind"
6,1,1,1,0,"Gloves of Thievery, Hobgoblin longsword"
7,1,1,1,0,"Ring of Protection, Vicious weapon"
8,1,1,1,0,"Cloak of Protection, +1 Armor"
9,1,1,1,0,"Vicious weapon, Drow hand crossbow"
10,1,1,1,1,"+1/+2 Armor, Trollhide consumable"
11,1,1,1,0,"+2 Weapon/Armor, Amulet of Health"
12,1,1,1,0,"Bracers of Defense, +2 Shield"
13,1,1,1,0,"+3 Weapon appears, Rare item"
14,1,1,1,0,"Cloak of Displacement, +2 Armor"
15,1,1,1,0,"Staff of Striking, Monster elite gear"
16,1,1,1,1,"+3 Armor, Ring of Evasion"
17,1,1,1,0,"Vorpal Sword, Legendary item"
18,1,1,1,0,"Staff of Power, +3 Shield"
19,1,1,1,0,"Holy Avenger, +3 Armor"
20,1,1,1,1,"Legendary iconic (Ring of Three Wishes, etc.)"
