d20,Detail 1,Detail 2,Detail 3
1,Rescue the,Goblet,Of the evil wizard
2,Find the,Prisoner,Stalking the wastes
3,Destroy the,Sword,At the bottom of the river
4,Infiltrate the,Vault,In the city sewers
5,Bypass the,Cult,Under the barrow mounds
6,Return the,Spirit,Of the fallen hero
7,Defeat the,Killer,In the magical library
8,Spy on the,Demon,In the king's court
9,Bribe the,Noble,Of the ancient lineage
10,Deliver the,Hunter,In the sorcerer's tower
11,Escape the,Hostage,In the Murkwood
12,Imprison the,Thief,Hiding in the slums
13,Stop the,Spy,Of the Dwarven lord
14,Befriend the,Werewolf,In the musty tomb
15,Pacify the,Relic,Of the royal knights
16,Persuade the,High priest,Sacrificing innocents
17,Steal the,Merchant,In the catacombs
18,Escort the,Witch,Blackmailing the baron
19,Banish the,Ritual,In the Thieves' Guild
20,Free the,Vampire,Murdering townsfolk
