type,subtype
aberration,""
aberration,grimlock
aberration,shapechanger
beast,
beast,""
"beast (dinosaur)",
"beast (dinosaur)",""
celestial,
celestial,""
celestial,titan
"celestial (angel)",""
construct,
construct,""
dragon,
dragon,""
"dragon (chromatic)",""
"dragon (metallic)",""
elemental,
elemental,""
"elemental (genie)",""
fey,
fey,""
"fey ",""
"fey (goblinoid)",
"fey (goblinoid)",goblinoid
fiend,
fiend,""
fiend,demon
fiend,"demon, shapechanger"
fiend,devil
fiend,gnoll
fiend,shapechanger
fiend,yugoloth
"fiend (demon)",demon
"fiend (devil)",devil
giant,
giant,""
humanoid,aarakocra
humanoid,"any race"
humanoid,bullywug
humanoid,dwarf
humanoid,elf
humanoid,gith
humanoid,gnoll
humanoid,gnome
humanoid,goblinoid
humanoid,human
humanoid,kenku
humanoid,kobold
humanoid,kuo-toa
humanoid,orc
humanoid,quaggoth
humanoid,sahuagin
humanoid,thri-kreen
humanoid,troglodyte
humanoid,yuan-ti
monstrosity,""
monstrosity,shapechanger
monstrosity,"shapechanger, yuan-ti"
"monstrosity (titan)",titan
ooze,""
"or small humanoid",
"or small humanoid","any race"
"or small humanoid (cleric)",
"or small humanoid (cleric)","any race"
"or small humanoid (druid)","any race"
"or small humanoid (wizard)","any race"
"or small monstrosity (lycanthrope)","human, shapechanger"
"or small undead",""
"or small undead",shapechanger
"or small undead (cleric)",""
"or smaller creature",""
plant,
plant,""
"swarm of tiny beasts",
"swarm of tiny beasts",""
"swarm of tiny undead",
undead,
undead,""
"undead (wizard)",""
